Product,Raw Material (kg CO2),Weaving (kg CO2),Dyeing (kWh),Finishing (Litres H2O),Energy Used (kWh),Water Used (Litres),CO2 Used (kg),Sustainability Grade
Cabin Crew Jacket,2.0,4.3,5.9,974,18.9,1050,10.0,C
Athletic Performance Tee,1.1,2.2,3.7,495,11.0,583,6.1,B
Slip-Resistant Clogs,1.4,0.8,2.7,398,13.2,331,8.7,A
Hiking Shell Jacket,3.2,5.2,7.7,1145,26.7,1333,15.2,D
Slip-Resistant Clogs,2.4,1.5,3.4,473,17.0,631,11.0,B
Running Windbreaker,1.1,2.1,2.8,438,11.7,484,6.1,A
Compression Tights,1.3,2.5,3.9,565,12.3,733,6.9,B
Security Guard Blazer,1.9,3.4,5.0,773,17.0,845,8.5,B
Welding Apron,1.9,3.0,3.4,535,13.1,668,9.6,B
Running Windbreaker,1.4,2.9,3.7,658,12.8,833,8.2,B
Factory Lab Coat,1.9,3.0,4.1,640,14.3,809,8.6,B
Lightweight Running Shoes,2.0,1.5,3.0,465,14.7,502,10.8,B
Construction Coverall,4.0,6.6,9.2,1359,26.3,1721,16.8,D
Paramedic Scrubs,1.3,2.4,3.6,557,12.6,738,7.6,B
Running Windbreaker,1.7,2.5,4.1,677,13.5,748,6.9,B
Welding Apron,2.0,3.0,3.4,574,12.4,762,9.4,B
Paramedic Scrubs,1.1,2.1,2.5,427,8.6,535,5.8,A
Waterproof Hiking Boots,3.4,2.1,5.0,700,24.4,890,13.9,C
Police Patrol Shirt,1.1,1.9,3.4,555,7.5,521,5.7,A
Paramedic Scrubs,0.8,1.4,2.9,507,8.5,566,5.8,A
Steel Toe Boots,3.8,2.3,5.4,675,28.0,832,15.8,C
Waterproof Hiking Boots,4.1,2.7,5.5,815,30.6,1040,19.7,D
Compression Tights,1.2,2.6,3.5,608,12.6,724,6.5,B
Waterproof Hiking Boots,4.0,2.7,6.1,772,32.5,1031,19.6,D
High-Top Basketball Sneakers,2.5,1.7,3.9,500,16.4,571,11.6,B
Construction Coverall,3.3,4.6,7.2,926,20.5,1428,13.7,C
Running Windbreaker,1.4,2.5,3.9,673,13.0,737,6.7,B
Construction Coverall,4.0,5.6,8.2,1107,27.1,1544,18.4,D
High-Top Basketball Sneakers,2.5,1.6,3.4,471,16.7,625,11.1,B
Hiking Shell Jacket,2.4,4.3,6.2,1040,18.3,1114,12.4,C
Construction Coverall,3.7,6.2,8.9,1174,28.1,1512,15.8,D
Chef Coat,1.9,4.0,5.0,789,18.1,1026,9.5,C
Yoga Leggings,0.8,1.4,2.5,299,9.5,358,5.7,A
Waterproof Hiking Boots,3.3,1.9,5.0,741,22.3,871,14.4,C
Waterproof Hiking Boots,3.2,2.1,4.8,636,24.3,880,16.0,C
Mechanic Jumpsuit,3.9,5.8,8.2,1307,26.5,1401,15.0,D
Mechanic Jumpsuit,2.6,4.3,6.6,1004,20.0,1165,12.1,C
Training Tracksuit,2.8,4.8,6.3,935,19.0,1305,11.6,C
Tactical Cargo Pants,1.7,3.6,4.4,848,15.0,962,9.2,B
Industrial Work Shirt,1.5,2.7,3.7,575,12.9,634,8.0,B
Factory Lab Coat,2.1,3.7,6.1,865,18.5,1074,10.1,C
Hiking Shell Jacket,2.8,5.5,7.4,1423,26.9,1563,14.6,D
Hiking Shell Jacket,2.9,5.5,8.1,1354,25.5,1389,14.2,D
Lightweight Running Shoes,1.9,1.5,3.0,469,15.7,591,9.2,B
Chef Coat,1.7,3.4,4.3,702,14.0,900,8.3,B
Hiking Shell Jacket,2.5,4.5,6.4,1116,21.5,1198,11.7,C
Industrial Work Shirt,1.5,2.6,3.7,617,13.1,705,7.6,B
Slip-Resistant Clogs,1.7,0.9,2.5,368,9.9,393,9.5,A
Cabin Crew Jacket,2.7,4.8,6.7,1043,25.3,1527,13.9,D
Trail Running Shorts,0.6,1.5,2.9,364,7.4,499,5.3,A
Chef Coat,1.7,3.4,4.0,648,15.0,818,8.0,B
Slip-Resistant Clogs,2.4,1.6,3.4,512,17.4,627,10.7,B
Steel Toe Boots,3.7,2.3,4.6,753,25.9,877,16.3,C
Industrial Work Shirt,1.2,1.7,3.2,390,9.4,392,4.5,A
Welding Apron,1.8,2.8,3.7,646,13.7,719,9.4,B
Construction Coverall,3.6,6.0,8.9,1349,26.3,1596,17.6,D
Lightweight Running Shoes,1.8,1.1,2.0,283,9.4,438,6.5,A
Industrial Work Shirt,1.2,1.6,3.0,469,7.5,609,6.8,A
Waterproof Hiking Boots,3.0,1.7,3.6,505,21.8,696,11.7,B
Industrial Work Shirt,1.3,2.9,4.0,579,11.9,691,8.1,B
High-Top Basketball Sneakers,2.9,1.8,4.4,675,19.6,809,15.2,C
Welding Apron,1.9,2.9,3.5,576,14.3,804,8.3,B
Police Patrol Shirt,1.5,3.2,4.2,605,13.4,806,8.3,B
Waterproof Hiking Boots,3.9,2.8,6.0,915,31.9,932,16.7,D
Insulated Camping Vest,2.1,3.4,4.9,898,18.8,1105,10.5,C
Security Guard Blazer,2.0,4.0,4.4,767,17.2,854,10.2,B
Security Guard Blazer,3.1,5.1,6.6,1119,23.1,1514,15.0,D
Yoga Leggings,0.9,1.8,2.2,450,6.6,357,5.5,A
Construction Coverall,3.2,4.8,6.8,1030,23.0,1297,12.7,C
Waterproof Parka,3.9,6.5,8.6,1543,30.5,1738,16.6,D
Hiking Shell Jacket,2.8,5.4,7.0,1235,23.8,1578,14.6,D
Yoga Leggings,1.2,2.5,3.8,516,10.2,677,6.0,B
Athletic Performance Tee,1.2,2.0,3.1,514,10.3,570,6.5,B
Running Windbreaker,1.6,2.7,3.9,657,14.1,780,6.9,B
High-Top Basketball Sneakers,2.3,1.4,3.5,480,16.2,629,12.4,B
Waterproof Hiking Boots,3.4,2.2,4.3,694,25.9,880,15.6,C
Tactical Cargo Pants,1.8,3.3,4.3,812,15.0,1006,9.8,B
Steel Toe Boots,4.5,2.5,5.5,892,31.8,1053,20.9,D
Lightweight Running Shoes,1.4,1.0,2.3,409,13.8,331,5.7,A
Waterproof Parka,3.7,5.8,9.6,1534,31.7,1641,18.5,D
Welding Apron,2.2,3.0,3.4,575,12.5,741,9.5,B
Cabin Crew Jacket,2.8,5.3,6.8,1208,22.6,1463,14.7,D
Welding Apron,2.6,3.4,4.4,777,16.5,897,11.8,C
Lightweight Running Shoes,1.2,0.8,2.6,332,9.8,314,5.7,A
Waterproof Hiking Boots,3.6,2.0,4.6,711,26.0,774,16.0,C
Mechanic Jumpsuit,2.1,3.5,5.2,707,16.1,1080,10.0,B
Steel Toe Boots,4.5,2.8,6.0,864,31.7,1118,20.9,D
Insulated Camping Vest,1.5,1.7,2.7,448,10.6,489,6.3,A
Industrial Work Shirt,1.6,2.7,3.8,523,12.4,664,7.1,B
Tactical Cargo Pants,1.8,3.1,4.9,824,15.9,1019,9.4,B
Security Guard Blazer,1.8,4.1,5.1,829,17.4,947,9.5,B
Factory Lab Coat,1.6,3.1,4.6,689,13.2,975,8.3,B
Trail Running Shorts,0.6,1.8,2.9,425,7.2,483,4.3,A
Paramedic Scrubs,1.3,2.3,4.3,582,10.8,666,7.6,B
Insulated Camping Vest,1.7,2.9,4.7,816,16.1,782,8.6,B
Welding Apron,1.5,1.7,3.1,493,10.8,493,5.3,A
Security Guard Blazer,1.7,3.3,4.3,752,15.3,1026,8.3,B
Yoga Leggings,0.9,2.0,2.6,329,9.5,369,3.8,A
High-Top Basketball Sneakers,2.2,1.5,3.7,476,17.8,577,12.1,B
Lightweight Running Shoes,2.1,1.4,3.2,427,16.8,482,9.3,B
Industrial Work Shirt,1.2,1.9,2.9,445,8.8,582,5.9,A
Cabin Crew Jacket,2.2,4.6,5.8,891,18.4,1194,10.4,C
Waterproof Hiking Boots,2.5,1.7,4.1,571,20.3,702,11.0,B
Chef Coat,2.0,4.3,5.5,896,18.0,1126,9.8,C
Steel Toe Boots,4.1,2.6,6.6,790,32.6,1145,21.2,D
Training Tracksuit,2.9,6.2,6.9,1254,23.6,1522,16.3,D
Paramedic Scrubs,1.3,2.4,3.6,617,12.8,787,7.2,B
Waterproof Hiking Boots,2.7,1.7,3.5,526,19.7,651,11.6,B
Slip-Resistant Clogs,1.4,1.3,1.9,418,9.6,329,9.1,A
Yoga Leggings,0.8,1.8,2.4,392,7.0,373,5.7,A
Yoga Leggings,1.3,2.2,3.3,492,10.2,641,7.0,B
Running Windbreaker,1.4,2.6,3.8,643,12.2,688,6.8,B
Steel Toe Boots,3.6,2.1,4.9,698,26.0,912,17.3,C
Cabin Crew Jacket,2.0,3.6,4.4,727,15.0,971,9.7,B
Steel Toe Boots,2.8,1.9,4.3,624,20.1,626,14.0,B
Hiking Shell Jacket,2.1,3.3,5.2,946,15.3,936,10.1,B
High-Top Basketball Sneakers,2.4,1.7,3.5,483,17.7,637,10.4,B
Slip-Resistant Clogs,2.9,1.7,4.5,672,20.4,668,14.2,C
Industrial Work Shirt,1.2,2.1,2.7,372,8.0,416,4.3,A
Training Tracksuit,3.6,5.6,7.3,1252,23.2,1633,16.2,D
Waterproof Hiking Boots,3.5,1.9,4.9,731,22.3,800,15.2,C
Mechanic Jumpsuit,3.9,5.8,8.2,1265,23.2,1673,17.0,D
Slip-Resistant Clogs,2.0,1.3,3.2,492,15.2,615,10.4,B
Insulated Camping Vest,1.6,2.6,4.8,776,14.8,823,9.2,B
Steel Toe Boots,2.6,1.8,3.9,599,20.4,657,11.6,B
Compression Tights,1.3,2.5,3.8,611,10.5,739,6.4,B
Security Guard Blazer,1.9,3.3,4.2,810,15.3,944,9.5,B
Security Guard Blazer,1.7,3.9,4.7,814,16.9,933,9.4,B
Factory Lab Coat,2.0,3.8,6.1,885,17.1,1145,9.8,C
Steel Toe Boots,3.1,1.9,4.1,561,20.4,631,11.9,B
Construction Coverall,3.7,5.9,8.8,1297,28.4,1551,17.9,D
Lightweight Running Shoes,1.3,0.8,1.8,357,9.6,337,7.6,A
Compression Tights,1.0,1.4,2.9,322,7.9,548,3.9,A
Factory Lab Coat,1.8,3.3,4.7,754,14.9,951,8.8,B
Running Windbreaker,1.7,2.5,3.5,691,14.3,838,6.9,B
Tactical Cargo Pants,2.3,4.5,5.9,1049,17.6,1151,11.7,C
Lightweight Running Shoes,2.0,1.5,3.3,435,15.2,530,10.6,B
Running Windbreaker,1.6,2.9,4.2,620,14.0,823,7.4,B
Construction Coverall,3.8,5.5,9.2,1107,23.9,1548,16.7,D
Cabin Crew Jacket,1.8,3.4,4.5,771,16.5,907,9.7,B
Industrial Work Shirt,0.8,1.8,2.9,323,8.7,438,5.8,A
Waterproof Parka,3.7,6.6,9.5,1335,28.5,1776,19.5,D
Training Tracksuit,2.2,3.9,5.0,830,14.9,956,10.5,B
Tactical Cargo Pants,2.2,4.6,6.0,976,19.8,1215,10.6,C
Paramedic Scrubs,0.8,1.4,2.5,516,6.8,503,4.4,A
Mechanic Jumpsuit,2.9,4.7,6.7,890,21.2,1223,12.8,C
Training Tracksuit,3.2,5.3,6.9,1126,25.3,1458,15.6,D
Police Patrol Shirt,1.6,2.7,3.9,660,11.7,846,7.3,B
Waterproof Hiking Boots,4.1,2.5,5.4,912,29.2,1099,20.0,D
Mechanic Jumpsuit,2.7,4.7,6.1,1046,20.5,1336,12.4,C
Insulated Camping Vest,2.2,3.3,5.3,881,18.1,1029,10.5,C
Insulated Camping Vest,1.8,3.0,4.0,743,16.3,816,9.0,B
Cabin Crew Jacket,2.1,4.5,5.2,967,17.5,1137,10.2,C
Running Windbreaker,1.3,2.0,3.4,367,7.5,649,6.6,A
Steel Toe Boots,4.0,2.6,5.7,815,34.2,961,19.6,D
Cabin Crew Jacket,1.9,3.6,4.6,697,13.8,931,9.5,B
Cabin Crew Jacket,2.2,4.0,5.2,912,17.2,1045,10.4,C
Chef Coat,1.8,3.3,4.1,718,15.7,801,9.0,B
Chef Coat,1.4,3.1,4.2,623,14.4,871,8.0,B
Construction Coverall,3.6,6.0,8.8,1188,24.7,1702,18.4,D
Security Guard Blazer,2.3,4.6,5.8,847,18.3,1094,11.6,C
Cabin Crew Jacket,2.0,4.5,5.4,967,19.1,1132,11.5,C
Training Tracksuit,3.4,5.5,7.1,1251,27.6,1524,15.7,D
Security Guard Blazer,2.6,5.4,7.1,1170,23.1,1460,13.9,D
Compression Tights,0.7,1.9,2.5,451,8.7,529,4.0,A
Chef Coat,1.4,3.0,4.5,731,13.3,772,8.3,B
Paramedic Scrubs,1.2,2.5,4.0,642,13.0,659,7.5,B
Waterproof Hiking Boots,3.9,2.8,5.3,840,31.7,933,18.4,D
Security Guard Blazer,2.0,3.9,4.4,700,16.4,1027,8.4,B
Waterproof Hiking Boots,2.7,1.7,3.7,589,19.2,715,11.8,B
Waterproof Hiking Boots,3.1,2.2,4.4,696,22.4,840,15.9,C
Yoga Leggings,0.9,2.0,2.3,404,9.1,356,3.6,A
Athletic Performance Tee,0.8,1.5,2.9,366,6.7,446,4.2,A
Waterproof Hiking Boots,2.6,1.6,3.9,506,18.5,659,11.1,B
High-Top Basketball Sneakers,1.6,1.0,2.7,333,10.7,492,6.6,A
Industrial Work Shirt,1.5,2.4,3.9,554,11.7,683,7.8,B
Athletic Performance Tee,1.2,2.2,3.1,532,10.5,580,6.5,B
Police Patrol Shirt,1.3,2.2,3.0,365,8.6,687,5.9,A
Security Guard Blazer,1.8,3.5,5.0,781,15.1,870,9.4,B
Waterproof Hiking Boots,2.6,1.6,3.8,574,20.6,656,11.5,B
Welding Apron,1.9,3.2,3.9,565,14.6,705,9.1,B
Cabin Crew Jacket,1.6,3.8,4.4,698,16.4,905,8.8,B
Athletic Performance Tee,0.8,1.7,3.0,437,8.5,365,4.3,A
Security Guard Blazer,2.5,4.3,6.0,863,20.0,1180,11.7,C
Hiking Shell Jacket,2.7,3.8,6.4,1075,21.3,1126,12.2,C
Insulated Camping Vest,1.8,2.9,4.1,804,14.4,937,9.2,B
Paramedic Scrubs,1.3,2.5,4.1,662,11.4,776,7.7,B
Cabin Crew Jacket,1.8,3.4,4.1,737,14.6,1026,9.6,B
Cabin Crew Jacket,2.0,3.5,4.5,689,17.0,918,9.1,B
Security Guard Blazer,1.8,3.3,5.0,703,17.0,976,8.7,B
Athletic Performance Tee,0.8,1.5,2.6,344,9.1,530,4.9,A
Steel Toe Boots,4.4,3.0,6.2,962,35.1,1048,19.5,D
Trail Running Shorts,0.9,1.7,2.7,409,7.5,326,4.4,A
Tactical Cargo Pants,2.5,4.3,6.2,901,19.9,1073,10.7,C
Mechanic Jumpsuit,2.3,3.9,5.3,742,15.7,966,9.5,B
Steel Toe Boots,2.9,1.8,4.0,620,19.1,630,13.6,B
Security Guard Blazer,2.7,5.9,6.4,1178,24.4,1387,13.3,D
Compression Tights,1.1,2.3,3.4,592,12.5,704,6.5,B
Police Patrol Shirt,1.5,2.6,3.8,683,11.9,786,7.0,B
Tactical Cargo Pants,1.8,3.5,4.9,796,16.3,917,8.8,B
Police Patrol Shirt,1.6,3.0,4.3,560,12.3,741,8.4,B
Training Tracksuit,2.8,4.9,6.7,1009,20.7,1338,11.4,C
Trail Running Shorts,0.7,1.5,2.0,369,6.6,366,3.7,A
Training Tracksuit,3.0,6.0,7.5,1355,23.6,1489,14.1,D
Factory Lab Coat,2.1,4.2,6.0,835,16.2,1029,9.4,C
Cabin Crew Jacket,1.9,3.5,4.3,750,14.2,964,8.5,B
Paramedic Scrubs,1.3,2.3,3.9,678,13.0,791,7.3,B
Slip-Resistant Clogs,2.4,1.4,3.6,579,15.6,537,10.5,B
Chef Coat,2.0,4.0,4.9,784,17.2,1068,10.7,C
Welding Apron,1.3,2.7,3.0,392,9.7,438,5.0,A
Hiking Shell Jacket,3.4,5.2,7.0,1319,22.9,1643,15.5,D
Waterproof Parka,4.3,6.0,8.2,1341,31.9,1708,19.6,D
Hiking Shell Jacket,2.9,5.1,7.5,1281,25.1,1353,15.9,D
Hiking Shell Jacket,3.3,4.7,7.1,1392,24.4,1379,15.0,D
Industrial Work Shirt,1.0,2.2,2.3,387,7.6,623,5.8,A
Security Guard Blazer,2.2,4.9,5.3,969,17.7,1191,10.8,C
Factory Lab Coat,2.2,4.3,5.4,793,16.9,1009,10.3,C
Waterproof Hiking Boots,3.1,2.2,4.7,653,24.0,847,14.2,C
Lightweight Running Shoes,2.0,1.2,3.3,474,17.2,516,10.9,B
Paramedic Scrubs,1.3,2.7,3.7,585,10.7,740,6.7,B
Construction Coverall,4.2,5.9,7.6,1333,28.1,1776,15.1,D
Police Patrol Shirt,1.6,2.9,4.2,633,12.4,854,7.4,B
Insulated Camping Vest,1.4,2.2,2.9,587,9.2,509,5.6,A
Hiking Shell Jacket,3.1,5.4,7.8,1387,22.9,1577,14.7,D
Construction Coverall,3.3,5.2,6.6,926,20.8,1366,12.5,C
Slip-Resistant Clogs,1.9,1.2,3.0,296,9.7,387,9.3,A
Running Windbreaker,0.9,1.6,2.7,553,8.0,537,6.3,A
Tactical Cargo Pants,2.1,3.9,5.8,914,17.4,1195,12.1,C
Paramedic Scrubs,0.9,2.0,2.5,446,8.1,506,6.3,A
Insulated Camping Vest,2.1,3.6,4.9,975,17.5,971,11.2,C
Hiking Shell Jacket,2.3,3.5,4.8,768,15.4,1089,10.2,B
Factory Lab Coat,2.0,4.1,5.8,835,18.2,1145,9.5,C
Training Tracksuit,2.4,4.4,6.8,952,21.1,1366,12.5,C
Police Patrol Shirt,1.4,1.6,3.4,522,11.1,520,4.5,A
Hiking Shell Jacket,2.4,4.5,6.1,1080,18.2,1192,11.6,C
Steel Toe Boots,4.7,2.7,6.3,965,32.8,1033,19.5,D
Training Tracksuit,2.9,6.0,8.1,1327,24.9,1714,16.4,D
Paramedic Scrubs,1.5,2.8,4.1,551,10.8,753,6.7,B
Athletic Performance Tee,1.0,2.1,3.5,529,10.4,593,6.5,B
Running Windbreaker,1.6,2.9,3.6,678,13.6,731,7.5,B
Waterproof Hiking Boots,3.4,2.0,4.9,651,22.9,831,13.8,C
Training Tracksuit,2.7,4.2,5.8,1091,20.4,1187,11.8,C
Yoga Leggings,0.8,1.8,2.4,320,9.4,513,4.1,A
Police Patrol Shirt,1.2,1.8,2.7,499,7.8,647,4.7,A
Mechanic Jumpsuit,2.8,4.5,6.0,1030,21.0,1343,14.1,C
Mechanic Jumpsuit,3.1,5.8,7.5,1253,26.6,1703,16.4,D
High-Top Basketball Sneakers,2.6,1.7,3.8,533,18.8,620,12.0,B
Hiking Shell Jacket,3.2,5.1,7.7,1399,26.9,1381,15.5,D
Security Guard Blazer,2.4,4.1,6.1,870,17.6,1067,10.5,C
Running Windbreaker,1.0,2.1,3.1,455,7.6,542,5.7,A
Hiking Shell Jacket,3.4,4.6,8.0,1367,23.8,1402,14.3,D
Yoga Leggings,0.8,1.4,2.9,323,9.6,480,5.3,A
Athletic Performance Tee,0.9,1.9,1.9,294,9.4,505,5.0,A
Running Windbreaker,1.4,2.6,4.2,697,13.0,799,7.9,B
Steel Toe Boots,3.5,2.3,5.0,775,24.8,922,15.1,C
Mechanic Jumpsuit,3.0,4.4,5.9,977,18.7,1200,14.1,C
Yoga Leggings,1.2,2.4,3.4,567,11.8,675,6.7,B
Lightweight Running Shoes,1.4,1.1,2.6,380,10.8,431,8.9,A
Steel Toe Boots,4.0,2.7,6.0,960,34.7,1168,20.0,D
Slip-Resistant Clogs,2.3,1.3,3.5,525,17.3,567,10.3,B
Security Guard Blazer,1.9,3.3,5.1,779,17.1,963,9.9,B
Compression Tights,1.1,2.5,3.6,552,11.0,709,6.7,B
Running Windbreaker,1.4,2.6,3.4,595,12.9,742,6.9,B
Yoga Leggings,1.2,2.4,3.2,478,11.5,679,6.5,B
Welding Apron,2.2,3.2,3.9,634,13.7,817,8.8,B
Industrial Work Shirt,1.3,2.5,4.4,583,13.0,779,8.0,B
Factory Lab Coat,1.8,3.4,4.6,636,13.1,935,8.7,B
Tactical Cargo Pants,2.4,4.4,6.2,985,19.9,1127,11.1,C
Steel Toe Boots,4.7,2.6,6.6,926,32.6,1058,18.0,D
Athletic Performance Tee,0.7,2.0,2.1,400,7.0,377,4.0,A
Security Guard Blazer,1.8,3.6,4.7,784,14.9,1018,9.8,B
Police Patrol Shirt,1.6,2.6,4.3,614,11.7,828,7.1,B
Tactical Cargo Pants,3.0,5.0,7.2,1210,22.8,1572,12.8,D
Waterproof Parka,3.9,5.5,9.7,1565,29.5,1829,18.2,D
Steel Toe Boots,3.0,1.7,3.8,633,19.0,717,12.3,B
Chef Coat,1.3,1.9,2.7,390,9.3,721,6.8,A
Compression Tights,1.3,2.6,3.4,580,10.7,656,6.1,B
Slip-Resistant Clogs,2.4,1.5,3.8,560,17.5,644,10.4,B
Athletic Performance Tee,0.8,1.3,2.9,287,8.7,344,4.7,A
Waterproof Hiking Boots,3.0,1.7,4.1,516,20.5,712,11.3,B
High-Top Basketball Sneakers,1.4,1.3,2.2,317,13.2,430,7.6,A
Hiking Shell Jacket,3.1,4.8,6.9,1374,22.0,1387,14.8,D
Security Guard Blazer,2.2,4.2,6.0,875,19.6,1236,11.2,C
Running Windbreaker,1.6,2.5,4.0,646,13.6,747,7.8,B
Tactical Cargo Pants,2.9,5.8,6.5,1185,24.5,1272,15.2,D
Steel Toe Boots,3.4,2.3,5.1,695,24.0,902,14.9,C
Yoga Leggings,1.0,1.5,2.1,329,9.2,541,5.6,A
Running Windbreaker,1.6,3.0,4.2,616,12.6,810,7.7,B
Waterproof Hiking Boots,3.1,2.0,4.4,725,23.0,800,15.5,C
Waterproof Hiking Boots,4.3,2.7,5.4,889,28.8,1025,19.3,D
Police Patrol Shirt,1.7,3.1,3.8,624,13.8,819,8.7,B
Training Tracksuit,3.3,5.9,7.5,1115,23.0,1442,14.5,D
Tactical Cargo Pants,2.7,5.1,7.1,1235,25.5,1432,12.8,D
Cabin Crew Jacket,1.7,3.3,4.6,808,15.4,911,8.4,B
Running Windbreaker,1.1,1.8,3.3,526,9.1,558,4.3,A
Security Guard Blazer,1.9,3.5,5.0,764,16.7,1014,8.5,B
Factory Lab Coat,1.2,2.2,3.4,408,12.3,583,4.8,A
Construction Coverall,4.1,6.4,7.9,1329,23.9,1578,16.7,D
Cabin Crew Jacket,1.8,3.6,4.7,677,14.5,873,9.5,B
Hiking Shell Jacket,2.6,4.2,5.5,965,21.0,1306,12.1,C
Steel Toe Boots,3.7,2.0,4.9,760,26.8,787,14.8,C
Insulated Camping Vest,1.6,3.0,4.5,784,14.6,778,8.5,B
Industrial Work Shirt,1.4,2.9,4.2,531,11.1,643,7.0,B
Compression Tights,1.2,2.4,3.3,518,12.7,682,7.2,B
Cabin Crew Jacket,2.1,4.1,5.3,841,17.7,1073,10.7,C
Hiking Shell Jacket,2.7,4.3,5.7,983,21.4,1294,12.4,C
Cabin Crew Jacket,2.4,4.5,5.0,857,18.4,1192,10.5,C
Security Guard Blazer,2.7,5.4,6.3,1011,25.3,1483,14.5,D
Security Guard Blazer,2.4,4.5,5.7,952,20.3,1148,11.0,C
Industrial Work Shirt,1.5,2.5,4.2,522,11.7,647,6.8,B
Compression Tights,1.0,1.9,2.8,462,8.7,455,4.1,A
Trail Running Shorts,0.8,1.5,2.8,452,6.1,450,3.7,A
High-Top Basketball Sneakers,2.8,1.9,4.1,613,19.7,699,14.6,C
Welding Apron,1.3,2.3,2.5,418,11.0,614,5.2,A
Yoga Leggings,1.3,2.3,3.3,477,11.4,566,6.6,B
Security Guard Blazer,1.8,3.5,4.3,767,17.4,969,8.3,B
Training Tracksuit,3.4,5.8,8.4,1303,26.4,1615,14.2,D
Industrial Work Shirt,1.1,2.3,3.4,374,7.6,568,6.8,A
Industrial Work Shirt,1.5,2.4,3.9,539,12.7,725,8.1,B
Industrial Work Shirt,1.3,2.7,3.6,524,13.3,758,8.0,B
Trail Running Shorts,1.1,1.9,3.6,528,9.9,622,5.8,B
Steel Toe Boots,3.8,2.1,4.8,707,26.7,865,17.0,C
Running Windbreaker,1.5,3.1,3.7,619,14.0,690,7.3,B
Paramedic Scrubs,0.8,1.8,3.1,413,8.1,488,4.0,A
Hiking Shell Jacket,1.9,3.6,5.1,827,15.5,1037,10.0,B
Police Patrol Shirt,0.9,1.9,2.6,426,10.8,587,6.0,A
Mechanic Jumpsuit,2.2,3.8,4.9,759,15.5,960,10.0,B
Industrial Work Shirt,1.1,2.3,3.6,315,10.5,569,4.5,A
Construction Coverall,3.7,6.4,8.0,1264,25.0,1732,16.1,D
Training Tracksuit,2.6,4.7,5.9,1030,19.4,1198,13.2,C
Waterproof Hiking Boots,4.0,2.5,6.2,761,31.5,1088,19.3,D
Industrial Work Shirt,0.8,1.7,2.6,452,7.5,391,6.1,A
Training Tracksuit,3.3,5.2,8.5,1338,27.3,1389,13.7,D
