Product,Raw Material (kg CO2),Weaving (kg CO2),Dyeing (kWh),Finishing (Litres H2O),Energy Used (kWh),Water Used (Litres),CO2 Used (kg),Sustainability Grade
Steel Toe Boots,4.8,2.9,5.9,906,30.4,1008,19.0,D
Security Guard Blazer,1.9,3.4,4.5,678,17.0,1047,9.8,B
Factory Lab Coat,2.2,4.4,5.7,839,18.6,1113,10.8,C
Training Tracksuit,3.3,6.2,7.4,1202,27.1,1624,16.2,D
Police Patrol Shirt,1.7,3.0,4.1,698,12.7,747,7.7,B
High-Top Basketball Sneakers,2.7,1.7,4.2,655,23.1,765,15.2,C
Security Guard Blazer,1.8,3.9,5.2,766,17.3,882,9.6,B
Steel Toe Boots,2.6,1.7,4.3,583,22.2,724,12.1,B
Insulated Camping Vest,1.9,3.7,4.9,912,19.3,964,10.9,C
Security Guard Blazer,2.9,5.2,7.3,1223,22.4,1522,15.1,D
Compression Tights,1.2,2.3,4.0,515,12.6,735,6.4,B
Tactical Cargo Pants,1.9,3.2,4.4,768,15.2,996,9.4,B
Hiking Shell Jacket,2.3,3.2,5.0,911,14.8,966,9.2,B
Athletic Performance Tee,1.0,2.1,3.2,548,9.6,657,6.2,B
Tactical Cargo Pants,2.4,4.0,5.6,915,18.3,1093,11.0,C
Chef Coat,1.6,3.3,4.7,732,13.5,928,7.5,B
Waterproof Parka,3.6,5.9,9.3,1564,29.9,1820,15.9,D
Factory Lab Coat,2.2,3.8,6.0,925,18.5,1046,10.3,C
Yoga Leggings,1.4,2.4,3.6,516,11.2,649,6.1,B
Hiking Shell Jacket,2.5,4.0,6.0,1138,19.8,1251,12.2,C
Chef Coat,1.5,3.6,4.7,625,14.1,823,7.6,B
Factory Lab Coat,1.6,3.2,4.3,776,13.5,917,8.9,B
Paramedic Scrubs,1.4,2.4,4.2,606,11.3,757,6.7,B
Athletic Performance Tee,1.1,2.3,3.8,541,11.4,591,6.6,B
Cabin Crew Jacket,2.4,4.8,5.3,967,19.4,1076,11.9,C
Welding Apron,2.6,4.0,4.9,770,16.5,887,11.6,C
Training Tracksuit,3.0,5.7,8.2,1263,23.3,1414,15.3,D
Factory Lab Coat,2.3,4.4,5.8,919,19.1,981,10.6,C
Waterproof Parka,4.1,6.9,8.0,1450,32.1,1673,17.6,D
Tactical Cargo Pants,3.0,4.7,7.7,1236,23.4,1310,14.1,D
Lightweight Running Shoes,2.1,1.4,3.2,447,16.8,557,9.7,B
Yoga Leggings,1.2,2.2,3.6,526,10.7,584,6.6,B
Waterproof Hiking Boots,3.4,2.2,5.0,723,22.9,815,14.2,C
Waterproof Hiking Boots,3.1,2.1,4.4,628,24.4,830,15.1,C
Steel Toe Boots,4.0,2.6,6.2,839,32.5,1103,19.6,D
Tactical Cargo Pants,1.7,3.4,4.6,820,14.0,924,10.3,B
Athletic Performance Tee,1.1,2.3,3.1,479,10.8,647,5.6,B
Compression Tights,1.2,2.4,4.0,602,10.6,723,6.8,B
High-Top Basketball Sneakers,2.8,1.8,4.0,645,19.8,749,13.7,C
Security Guard Blazer,2.6,5.4,6.9,1251,24.3,1355,14.3,D
Tactical Cargo Pants,1.8,3.2,5.1,774,16.0,882,8.5,B
Steel Toe Boots,3.7,2.3,5.2,710,27.3,884,16.0,C
High-Top Basketball Sneakers,2.8,1.8,4.1,609,20.6,726,15.1,C
Hiking Shell Jacket,2.7,4.0,6.1,1067,20.0,1184,12.3,C
Hiking Shell Jacket,1.9,3.2,5.1,762,17.7,920,9.6,B
Tactical Cargo Pants,2.2,4.5,5.3,973,18.6,1252,10.8,C
Waterproof Parka,3.8,6.1,9.0,1396,28.1,1712,17.4,D
Steel Toe Boots,3.6,2.3,4.8,655,26.4,803,15.0,C
Tactical Cargo Pants,3.0,5.5,7.0,1218,24.4,1435,12.8,D
Tactical Cargo Pants,2.0,3.8,4.6,792,14.1,879,8.7,B
Lightweight Running Shoes,2.0,1.3,3.4,435,14.0,506,10.8,B
Security Guard Blazer,2.9,5.0,7.5,1250,25.5,1452,13.5,D
Athletic Performance Tee,1.1,2.1,3.7,546,10.3,637,5.8,B
Cabin Crew Jacket,2.0,4.1,5.0,985,19.3,1188,10.8,C
Police Patrol Shirt,1.4,2.6,4.3,583,12.4,769,8.5,B
Mechanic Jumpsuit,3.2,6.2,7.8,1200,24.8,1524,15.6,D
Construction Coverall,3.0,5.3,6.7,1053,19.7,1204,12.8,C
Steel Toe Boots,3.8,2.6,6.0,949,30.5,976,18.6,D
Hiking Shell Jacket,2.6,4.0,5.8,1008,18.1,1208,12.8,C
Tactical Cargo Pants,2.2,4.2,5.4,992,19.4,1242,11.9,C
Security Guard Blazer,2.1,4.9,5.7,871,20.1,1159,10.3,C
Lightweight Running Shoes,2.0,1.3,3.6,475,14.1,554,11.1,B
Industrial Work Shirt,1.5,2.7,4.4,618,12.4,673,8.4,B
High-Top Basketball Sneakers,3.0,2.0,4.2,677,21.2,715,14.5,C
Chef Coat,1.8,3.3,4.8,688,15.8,915,8.9,B
Lightweight Running Shoes,2.3,1.3,3.4,457,15.6,562,9.0,B
Police Patrol Shirt,1.6,2.6,3.8,663,12.2,865,7.9,B
Cabin Crew Jacket,2.0,3.2,4.4,695,14.1,898,9.3,B
Cabin Crew Jacket,2.3,4.6,5.1,950,19.3,1209,11.7,C
Welding Apron,2.5,4.0,4.3,758,17.6,838,11.5,C
High-Top Basketball Sneakers,2.2,1.7,3.3,524,18.3,656,10.9,B
Steel Toe Boots,4.2,2.8,5.7,786,31.0,1022,20.6,D
Training Tracksuit,3.5,5.5,6.9,1343,25.9,1547,14.8,D
Tactical Cargo Pants,1.9,3.4,4.7,833,16.3,983,9.8,B
Construction Coverall,3.8,5.6,8.1,1298,25.7,1471,17.7,D
Hiking Shell Jacket,2.6,4.2,5.8,952,19.2,1189,10.9,C
Tactical Cargo Pants,2.3,4.1,5.2,1045,18.8,1059,10.9,C
Running Windbreaker,1.6,2.9,3.6,667,12.0,762,7.8,B
Industrial Work Shirt,1.4,3.0,3.7,605,10.9,720,8.1,B
Training Tracksuit,2.7,4.7,6.7,1023,20.1,1307,13.0,C
Waterproof Hiking Boots,3.9,2.8,5.6,865,30.0,971,18.1,D
Running Windbreaker,1.6,2.5,3.4,563,12.1,843,8.0,B
Mechanic Jumpsuit,3.7,5.2,7.9,1135,24.5,1432,16.3,D
Construction Coverall,3.7,6.1,8.5,1240,27.7,1590,15.9,D
Paramedic Scrubs,1.2,2.8,4.0,613,12.4,689,6.8,B
Tactical Cargo Pants,2.2,4.5,5.7,904,20.6,1204,12.4,C
High-Top Basketball Sneakers,2.3,1.6,4.0,524,18.1,555,11.3,B
Tactical Cargo Pants,2.4,4.2,5.6,964,19.0,1200,12.1,C
Tactical Cargo Pants,2.8,5.4,7.6,1157,24.6,1327,14.5,D
Chef Coat,1.8,3.1,4.5,723,13.6,934,8.1,B
Factory Lab Coat,1.9,3.5,5.1,684,14.6,973,7.7,B
Waterproof Hiking Boots,3.1,2.1,4.4,645,23.1,824,14.4,C
Factory Lab Coat,2.0,4.1,5.2,850,18.2,984,10.7,C
Construction Coverall,3.7,5.7,8.6,1189,28.0,1563,15.5,D
Tactical Cargo Pants,3.1,5.2,7.2,1092,23.4,1425,14.0,D
Running Windbreaker,1.5,2.8,3.9,693,14.8,725,7.1,B
Trail Running Shorts,0.9,1.9,3.7,533,10.0,644,6.1,B
Waterproof Hiking Boots,3.4,2.0,4.4,706,25.9,769,14.5,C
Cabin Crew Jacket,2.8,5.9,7.0,1143,24.3,1235,14.2,D
Cabin Crew Jacket,2.9,5.4,7.2,1025,25.0,1494,13.3,D
Trail Running Shorts,1.0,2.0,3.1,579,10.6,578,6.4,B
Athletic Performance Tee,1.1,2.2,3.7,476,10.1,605,6.3,B
Insulated Camping Vest,2.1,3.5,5.1,878,18.2,1036,11.1,C
Trail Running Shorts,1.1,1.9,3.5,501,11.1,549,5.9,B
Cabin Crew Jacket,1.6,3.8,4.7,757,13.8,923,9.7,B
Construction Coverall,4.1,6.2,8.9,1311,23.5,1770,17.3,D
Paramedic Scrubs,1.3,2.5,4.1,554,12.7,750,7.1,B
Police Patrol Shirt,1.6,2.9,4.2,564,14.4,829,7.8,B
Waterproof Hiking Boots,2.8,1.5,4.1,564,19.5,671,11.0,B
Insulated Camping Vest,1.9,3.0,4.6,663,14.7,818,7.7,B
Hiking Shell Jacket,2.8,5.2,8.1,1308,26.9,1463,13.3,D
Tactical Cargo Pants,2.0,3.7,4.6,760,14.4,857,10.5,B
Cabin Crew Jacket,2.3,4.7,5.5,876,17.2,1099,11.8,C
Cabin Crew Jacket,2.0,4.7,5.4,895,18.8,1155,11.1,C
Insulated Camping Vest,2.0,3.3,5.4,862,18.2,1005,9.7,C
Mechanic Jumpsuit,2.8,4.6,6.1,883,21.8,1320,12.7,C
Police Patrol Shirt,1.5,2.9,3.7,676,13.5,826,7.6,B
Athletic Performance Tee,1.1,2.0,3.7,543,10.9,659,6.1,B
Cabin Crew Jacket,1.7,3.3,4.1,701,14.1,961,8.9,B
Hiking Shell Jacket,2.4,4.3,6.1,1003,18.9,1225,12.3,C
Insulated Camping Vest,1.6,2.8,4.6,792,16.0,772,9.5,B
Steel Toe Boots,4.4,3.0,6.0,972,30.5,1080,17.7,D
Mechanic Jumpsuit,2.6,4.3,6.3,945,21.2,1218,13.5,C
Security Guard Blazer,2.4,4.8,6.2,1005,19.7,1187,10.9,C
Tactical Cargo Pants,2.7,5.3,6.8,1260,23.5,1540,14.0,D
Compression Tights,1.3,2.6,3.9,528,11.6,724,7.2,B
Training Tracksuit,2.2,3.7,4.8,854,15.9,1024,9.4,B
Lightweight Running Shoes,2.3,1.3,3.2,470,16.6,554,9.5,B
Construction Coverall,3.0,5.2,7.4,982,21.3,1290,12.9,C
Tactical Cargo Pants,2.4,4.2,5.6,1015,18.4,1098,12.1,C
Hiking Shell Jacket,2.5,4.2,6.4,1025,19.9,1163,12.4,C
Police Patrol Shirt,1.4,2.7,3.8,685,12.5,836,8.3,B
Tactical Cargo Pants,1.9,3.2,4.8,749,15.4,906,9.3,B
Chef Coat,1.7,3.5,4.0,737,15.5,819,8.4,B
Tactical Cargo Pants,2.5,4.3,5.8,935,19.3,1096,11.8,C
Cabin Crew Jacket,2.3,4.1,5.8,905,17.4,1177,11.7,C
Training Tracksuit,3.1,6.1,6.9,1109,22.7,1525,15.0,D
Waterproof Hiking Boots,3.8,2.5,5.6,785,29.6,1091,18.7,D
Yoga Leggings,1.2,2.6,3.6,573,11.3,567,7.0,B
Insulated Camping Vest,1.8,3.2,4.6,818,16.5,863,9.0,B
Training Tracksuit,2.8,4.4,5.9,1086,19.7,1235,11.4,C
Chef Coat,2.0,3.9,5.8,789,18.9,1119,9.4,C
Security Guard Blazer,2.6,5.8,6.8,1050,24.3,1474,14.4,D
Security Guard Blazer,2.1,4.2,5.2,933,19.3,1260,11.0,C
Construction Coverall,3.0,5.2,6.4,980,22.4,1203,14.4,C
Construction Coverall,3.9,6.2,8.2,1197,23.7,1675,15.8,D
Chef Coat,1.5,3.1,4.5,673,14.1,874,7.6,B
Tactical Cargo Pants,2.8,4.7,7.1,1279,23.0,1425,15.4,D
Factory Lab Coat,2.0,3.9,6.0,919,16.7,1007,9.9,C
Welding Apron,2.5,4.1,5.0,744,17.5,879,9.9,C
Slip-Resistant Clogs,2.2,1.3,3.2,543,15.3,526,10.4,B
Insulated Camping Vest,2.2,3.3,5.2,869,18.1,1074,11.1,C
Slip-Resistant Clogs,2.8,1.6,4.5,634,20.6,765,12.8,C
Industrial Work Shirt,1.5,2.9,4.3,598,12.0,685,6.9,B
Slip-Resistant Clogs,2.0,1.6,3.6,474,14.9,565,11.3,B
Cabin Crew Jacket,2.2,4.1,5.6,902,17.5,1076,10.7,C
Athletic Performance Tee,1.0,2.0,3.6,549,10.7,652,6.0,B
Running Windbreaker,1.4,3.1,3.9,621,14.2,776,7.3,B
Paramedic Scrubs,1.4,2.5,3.8,548,12.0,750,6.6,B
Training Tracksuit,2.8,4.5,6.8,987,21.5,1233,13.1,C
Police Patrol Shirt,1.6,2.9,4.1,627,13.0,825,8.6,B
Chef Coat,1.9,3.8,5.3,826,18.3,1028,9.2,C
Yoga Leggings,1.2,2.6,3.5,553,10.2,587,6.5,B
High-Top Basketball Sneakers,2.8,2.0,4.7,650,19.9,693,14.3,C
Waterproof Parka,3.7,6.1,8.2,1558,27.5,1568,16.2,D
Training Tracksuit,2.8,4.5,6.0,1075,19.5,1251,12.2,C
Security Guard Blazer,2.5,4.6,5.2,952,20.2,1192,11.4,C
Insulated Camping Vest,2.0,3.4,5.7,971,19.9,968,10.3,C
Athletic Performance Tee,1.0,2.2,3.5,519,11.8,547,6.0,B
Insulated Camping Vest,2.3,3.6,5.4,881,16.8,1130,11.0,C
Police Patrol Shirt,1.6,2.6,4.0,673,13.3,784,7.8,B
Insulated Camping Vest,2.2,3.8,5.1,919,18.6,1095,9.5,C
Paramedic Scrubs,1.4,2.4,4.0,627,11.7,695,7.5,B
Hiking Shell Jacket,2.0,3.2,4.4,829,15.4,1097,8.9,B
Training Tracksuit,3.5,5.9,8.5,1314,22.7,1588,16.3,D
Waterproof Parka,3.2,5.1,7.0,1199,22.0,1345,13.6,C
Chef Coat,2.1,4.2,5.5,777,18.1,1063,9.5,C
Waterproof Hiking Boots,3.0,2.3,4.2,704,24.3,826,14.8,C
Waterproof Hiking Boots,4.1,2.6,6.0,860,30.3,962,17.8,D
High-Top Basketball Sneakers,2.6,1.7,3.6,554,17.2,565,11.0,B
Lightweight Running Shoes,2.0,1.3,3.0,436,15.4,552,9.0,B
Steel Toe Boots,3.4,2.2,4.7,685,27.0,848,14.7,C
Insulated Camping Vest,1.6,2.8,4.7,802,13.9,842,7.9,B
Industrial Work Shirt,1.5,2.8,3.8,570,10.9,641,8.0,B
Insulated Camping Vest,2.1,3.4,5.6,883,19.4,1040,10.4,C
Factory Lab Coat,1.5,3.1,4.8,703,13.0,938,8.7,B
Tactical Cargo Pants,3.0,5.7,6.6,1220,23.0,1439,14.7,D
Yoga Leggings,1.3,2.4,3.4,466,11.5,560,6.1,B
Police Patrol Shirt,1.4,2.6,4.1,592,14.0,778,7.1,B
Training Tracksuit,2.1,4.2,5.1,847,15.3,999,9.5,B
Hiking Shell Jacket,3.3,5.2,7.6,1367,23.2,1435,14.8,D
Insulated Camping Vest,2.2,3.8,5.1,879,17.6,1064,10.8,C
Cabin Crew Jacket,1.7,3.2,4.8,730,15.6,984,9.5,B
Lightweight Running Shoes,2.1,1.5,3.5,437,14.2,506,10.4,B
Running Windbreaker,1.6,2.5,3.7,699,14.6,796,7.2,B
Steel Toe Boots,2.6,1.7,3.8,627,18.8,735,12.8,B
Paramedic Scrubs,1.5,2.4,4.0,636,11.4,807,7.1,B
Waterproof Hiking Boots,2.5,1.7,4.1,502,18.1,671,12.2,B
Athletic Performance Tee,1.2,2.3,3.4,524,10.3,643,6.5,B
Waterproof Hiking Boots,3.4,2.1,4.3,655,25.8,801,16.1,C
Hiking Shell Jacket,3.0,4.7,7.8,1356,25.9,1325,14.0,D
Athletic Performance Tee,1.2,2.3,3.6,506,9.9,598,6.4,B
Hiking Shell Jacket,3.3,5.0,6.9,1258,21.8,1556,13.8,D
Cabin Crew Jacket,2.3,4.8,5.3,909,19.8,1218,10.8,C
Waterproof Hiking Boots,3.2,2.1,4.4,716,23.3,794,15.0,C
Insulated Camping Vest,1.9,3.6,5.2,926,18.9,1117,10.5,C
Tactical Cargo Pants,1.8,3.6,4.7,791,15.0,970,9.1,B
Trail Running Shorts,0.9,2.0,3.6,520,11.1,554,6.4,B
Security Guard Blazer,2.1,4.3,5.9,946,20.6,1164,12.3,C
Factory Lab Coat,2.1,4.0,5.9,815,16.5,1172,10.1,C
Steel Toe Boots,4.6,2.6,5.5,805,31.7,1142,17.6,D
Tactical Cargo Pants,2.4,3.9,6.0,961,18.1,1239,12.0,C
Training Tracksuit,2.1,4.2,5.0,743,17.0,977,8.9,B
Athletic Performance Tee,1.1,2.3,3.2,541,10.2,644,6.4,B
Security Guard Blazer,1.9,3.8,4.3,815,15.3,960,8.5,B
Construction Coverall,4.0,6.7,8.2,1297,23.9,1733,15.8,D
Welding Apron,1.8,3.4,3.9,535,13.7,736,8.3,B
Waterproof Parka,4.2,6.5,8.0,1453,30.3,1513,18.0,D
Chef Coat,2.1,3.9,5.3,803,17.8,1066,9.8,C
Waterproof Hiking Boots,3.3,1.9,4.3,634,23.0,884,14.9,C
Cabin Crew Jacket,1.7,3.9,4.1,689,15.2,876,8.2,B
Hiking Shell Jacket,2.8,4.1,5.7,1126,18.4,1228,12.3,C
Police Patrol Shirt,1.4,3.0,4.3,678,13.5,811,7.5,B
Waterproof Hiking Boots,3.1,2.2,4.4,652,22.4,825,15.0,C
Slip-Resistant Clogs,2.3,1.5,3.1,555,16.8,625,11.7,B
Training Tracksuit,3.3,5.9,8.5,1341,26.7,1645,15.3,D
Steel Toe Boots,4.2,2.4,5.7,826,32.6,976,20.6,D
Waterproof Hiking Boots,3.4,2.1,4.7,630,23.4,861,14.1,C
Mechanic Jumpsuit,3.0,4.9,6.3,987,19.9,1370,12.5,C
Hiking Shell Jacket,3.2,5.3,8.2,1323,25.6,1458,15.6,D
Factory Lab Coat,2.2,4.0,5.9,913,17.0,1083,9.8,C
Tactical Cargo Pants,1.8,3.6,4.4,840,15.2,1004,9.0,B
Athletic Performance Tee,1.2,2.2,3.2,515,9.8,625,5.6,B
Welding Apron,2.0,3.4,3.6,560,12.9,719,9.6,B
Mechanic Jumpsuit,3.2,6.3,7.9,1094,26.1,1722,15.1,D
Hiking Shell Jacket,3.0,5.0,7.5,1148,24.3,1487,15.2,D
Mechanic Jumpsuit,3.5,6.0,7.1,1283,23.0,1445,15.2,D
Factory Lab Coat,1.7,3.5,4.1,741,13.7,806,8.3,B
Mechanic Jumpsuit,2.3,3.5,5.1,742,16.3,1011,10.0,B
Waterproof Parka,3.7,5.5,8.9,1321,27.4,1516,18.1,D
Hiking Shell Jacket,3.2,5.6,8.1,1189,24.8,1387,13.1,D
Security Guard Blazer,1.7,4.1,4.5,801,14.0,880,9.7,B
Training Tracksuit,3.4,5.3,8.2,1291,23.9,1692,16.5,D
Factory Lab Coat,2.2,3.7,5.5,921,16.9,1014,10.9,C
High-Top Basketball Sneakers,2.6,1.7,3.7,478,16.3,643,11.8,B
Construction Coverall,4.1,5.9,8.4,1150,25.4,1555,18.2,D
Slip-Resistant Clogs,3.0,1.8,4.1,598,21.4,716,13.5,C
Training Tracksuit,2.5,4.4,5.9,1069,20.8,1169,12.3,C
Chef Coat,2.1,4.0,4.9,765,18.1,954,10.7,C
Mechanic Jumpsuit,3.5,5.9,8.1,1257,23.6,1390,15.6,D
Construction Coverall,3.4,6.2,8.4,1336,24.1,1767,17.2,D
Waterproof Hiking Boots,3.7,2.3,6.1,880,31.4,1124,19.0,D
Construction Coverall,3.0,5.0,7.0,1046,22.2,1416,14.5,C
Factory Lab Coat,1.6,3.1,4.4,673,16.0,827,8.1,B
Athletic Performance Tee,1.2,2.0,3.3,484,10.6,582,6.2,B
Welding Apron,1.9,2.8,3.4,628,12.1,807,9.6,B
Lightweight Running Shoes,1.9,1.3,3.2,479,17.4,493,9.1,B
Chef Coat,1.9,3.7,5.3,834,18.2,963,9.6,C
Factory Lab Coat,2.2,4.4,5.2,873,16.4,1141,10.6,C
Athletic Performance Tee,1.0,2.2,3.4,519,11.1,651,6.4,B
Steel Toe Boots,3.3,2.1,5.0,666,26.3,833,16.0,C
Cabin Crew Jacket,2.4,4.4,5.6,886,18.4,1102,11.4,C
Construction Coverall,3.3,5.2,6.9,1062,21.8,1227,12.7,C
Security Guard Blazer,2.3,4.9,6.0,915,20.7,1175,10.4,C
Mechanic Jumpsuit,3.3,5.8,7.4,1100,25.5,1473,17.3,D
Hiking Shell Jacket,2.4,3.8,6.1,982,19.5,1313,12.7,C
Tactical Cargo Pants,2.4,4.3,5.2,892,19.9,1103,10.7,C
Waterproof Hiking Boots,4.0,2.6,5.6,844,30.8,954,19.3,D
Tactical Cargo Pants,2.2,4.2,5.8,950,19.2,1162,12.6,C
Hiking Shell Jacket,3.0,5.2,7.5,1171,25.7,1417,16.1,D
Waterproof Parka,3.6,6.7,9.4,1346,28.4,1682,17.5,D
Mechanic Jumpsuit,3.6,5.7,8.0,1300,23.2,1386,16.8,D
Chef Coat,1.8,4.1,5.4,867,17.8,1024,9.5,C
Chef Coat,2.0,3.9,5.7,794,17.5,1087,10.6,C
Training Tracksuit,2.8,4.3,6.4,979,22.1,1368,12.3,C
Chef Coat,1.8,4.1,5.6,860,17.1,1073,10.6,C
Cabin Crew Jacket,2.2,4.3,5.1,857,17.5,1092,10.5,C
Construction Coverall,3.4,6.4,8.7,1232,26.8,1775,18.5,D
Hiking Shell Jacket,2.6,3.8,6.2,997,19.6,1295,11.2,C
Construction Coverall,3.9,6.6,9.2,1184,28.9,1767,18.3,D
Waterproof Parka,3.5,6.8,8.6,1502,27.9,1569,18.3,D
Mechanic Jumpsuit,2.7,4.4,6.3,1051,20.4,1315,13.3,C
Waterproof Parka,3.6,6.7,9.3,1538,32.0,1512,17.8,D
Security Guard Blazer,2.3,4.1,6.0,977,20.5,1062,11.9,C
Hiking Shell Jacket,2.6,4.0,5.7,989,20.3,1237,12.4,C
Slip-Resistant Clogs,2.6,1.9,4.5,660,19.4,764,14.1,C
Waterproof Parka,3.8,5.9,8.0,1538,26.7,1636,16.4,D
Security Guard Blazer,2.1,4.3,5.4,964,18.1,1102,10.4,C
Tactical Cargo Pants,2.3,4.3,5.6,1013,18.9,1148,11.7,C
Hiking Shell Jacket,3.1,4.9,7.0,1412,25.5,1643,14.5,D
Waterproof Hiking Boots,3.2,1.9,4.9,674,23.6,867,15.8,C
Tactical Cargo Pants,3.1,5.8,6.6,1316,23.0,1466,15.6,D
Construction Coverall,3.2,4.9,7.3,1095,22.5,1421,13.1,C
Welding Apron,2.6,3.6,4.5,766,17.1,942,11.2,C
Hiking Shell Jacket,3.2,5.4,7.2,1289,23.9,1517,13.1,D
High-Top Basketball Sneakers,3.0,1.8,4.6,645,20.3,739,13.0,C
Construction Coverall,3.1,4.5,6.9,940,22.3,1317,12.7,C
Mechanic Jumpsuit,3.1,6.2,7.9,1268,25.4,1722,15.3,D
Factory Lab Coat,2.3,4.0,5.5,888,16.3,1042,9.7,C
Insulated Camping Vest,2.1,3.6,5.4,883,17.1,1137,10.9,C
Cabin Crew Jacket,2.3,4.3,5.2,976,17.2,1131,11.9,C
High-Top Basketball Sneakers,3.1,2.0,4.5,589,21.8,737,13.5,C
Waterproof Hiking Boots,3.5,2.2,4.3,697,24.9,878,14.0,C
Training Tracksuit,2.4,4.4,6.7,1096,20.8,1182,13.1,C
Waterproof Hiking Boots,3.4,2.1,4.4,708,24.0,824,14.6,C
Hiking Shell Jacket,2.3,4.4,6.6,1069,19.5,1213,11.7,C
Factory Lab Coat,2.2,4.2,5.5,921,19.3,1029,10.7,C
Training Tracksuit,2.5,4.2,5.8,1057,19.5,1333,12.8,C
Mechanic Jumpsuit,3.4,5.8,7.2,1246,24.7,1567,15.9,D
Tactical Cargo Pants,2.3,4.3,5.7,920,17.2,1150,12.6,C
Construction Coverall,4.0,5.6,8.2,1378,28.2,1793,18.4,D
Training Tracksuit,3.4,5.6,7.4,1299,27.7,1562,13.9,D
Chef Coat,2.0,3.8,5.4,752,17.0,960,10.3,C
Construction Coverall,3.5,6.5,9.0,1270,27.2,1513,17.6,D
Waterproof Hiking Boots,4.4,2.6,6.1,798,30.1,1044,20.1,D
Training Tracksuit,2.6,4.5,6.7,936,21.8,1164,12.2,C
Waterproof Parka,3.6,5.7,8.3,1418,31.1,1570,19.5,D
Chef Coat,1.8,4.0,5.6,891,17.6,1068,10.0,C
Waterproof Parka,3.9,5.7,9.3,1433,27.5,1859,19.3,D
Waterproof Hiking Boots,3.1,2.2,4.4,725,25.1,762,14.0,C
Slip-Resistant Clogs,2.8,1.8,4.1,655,21.3,713,12.7,C
Cabin Crew Jacket,2.1,4.6,5.1,900,20.2,1075,10.7,C
Chef Coat,2.0,4.1,5.6,805,15.8,994,10.5,C
Tactical Cargo Pants,2.1,4.3,6.1,959,17.5,1247,10.6,C
Security Guard Blazer,2.1,4.9,5.9,873,18.1,1191,10.9,C
Mechanic Jumpsuit,2.8,4.7,6.0,882,18.7,1309,13.9,C
Welding Apron,2.4,3.7,5.0,747,17.4,890,10.4,C
Cabin Crew Jacket,2.4,4.1,5.8,832,19.9,1227,11.2,C
Chef Coat,1.8,4.1,4.9,799,16.6,1121,10.8,C
Steel Toe Boots,3.3,2.0,5.2,770,26.9,868,15.6,C
Waterproof Hiking Boots,3.5,2.2,4.7,641,22.5,805,14.0,C
Construction Coverall,3.3,4.7,7.1,1034,22.8,1397,14.5,C
Chef Coat,2.0,4.0,5.7,786,18.5,1074,10.4,C
Mechanic Jumpsuit,3.1,4.4,6.1,977,21.5,1343,11.9,C
